,Target_Value,vonMises_Max,displacement_Max,FEA_runtime
0,15,228.032553273457,0.14252057888675726,7.84375
1,18,210.85367713198752,0.12698286848930804,8.375
2,21,196.73954482176825,0.11466040274949368,8.078125
3,24,185.88224884306183,0.10483105718665818,8.984375
4,27,178.0028316839694,0.09705449244590432,8.40625
